codigo,descricao,direcao,grupo_padrao
1102,COMPRA ESTADUAL P/COMERCIALIZACAO,entrada,5.1
1124,INDUSTRIALIZACAO EFETUADA,entrada,5.1
1152,TRANSFERENCIA PARA COMERCIALIZACAO,entrada,5.8
1202,DEVOLUCAO DE VENDA ESTADUAL REC.DE TERCEIRO,entrada,5.7
1253,ENERGIA ELETRICA,entrada,5.2
1303,AQUISICAO DE SERVICO DE COMUNICACAO POR ESTABELECIMENTO COME,entrada,5.8
1306,AQUISICAO DE SERVICO DE COMUNICACAO POR ESTABELECIMENTO DE P,entrada,5.8
1352,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO INDUS,entrada,5.5
1353,AQUISICAO DE SERVICO DE TRANSP POR ESTABELECIMENTO COMERCIAL,entrada,5.5
1359,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO DE PRODUTOR RURAL,entrada,5.8
1403,COMPRAS DE MERCADORIAS SUJEITAS AO REGIME DE S.T.,entrada,5.1
1407,COMPRA DE MERCADORIA PARA USO OU CONSUMO CUJA MERCADORIA EST,entrada,5.8
1409,TRANSFERENCIA DE MERCADORIAS SUJEITAS AO REGIME DE S.T.,entrada,5.8
1411,DEV. DE MERCADORIA SUJEITAS AO REGIME DE S.T.,entrada,5.7
1551,COMPRA DE BEM PARA O ATIVO IMOBILIZADO,entrada,5.8
1554,BEM DO ATIVO IMOBILIZADO (confirmar descricao oficial exata),entrada,5.8
1556,COMPRA DE MATERIAL PARA USO OU CONSUMO,entrada,5.8
1653,COMPRA DE COMBUSTIVEL OU LUBRIFICANTE POR CONSUMIDOR OU USUA,entrada,5.8
1902,RETORNO DE MERCADORIA REMETIDA PARA INDUSTRIALIZACAO POR ENC,entrada,5.8
1904,RETORNO DE REMESSA PARA VENDA FORA DO ESTABELECIMENTO,entrada,5.8
1905,ENTRADA DE MERCADORIA RECEBIDA PARA DEPOSITO EM DEPOSITO FEC,entrada,5.8
1906,RETORNO DE MERC. REMETIDA PARA DEPOSITO FECHADO OU ARM.GERAL,entrada,5.8
1907,RETORNO SIMBOLICO DE MERCADORIA REMETIDA PARA DEPOSITO FECH,entrada,5.8
1908,ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO,entrada,5.8
1910,ENTRADA ESTADUAL MERC.BONIFICADA,entrada,5.8
1923,"ENTR.DE MERC. RECEBIDA DO VENDEDOR REMET., EM VENDA A ORDEM",entrada,5.8
1926,LANCAMENTO EFETUADO A TITULO DE RECLASSIFICACAO DE MERCADORI,entrada,5.8
1929,LANÇAMENTO EFETUADO EM DECORRÊNCIA DE EMISSÃO DE DOCUMENTO F,entrada,5.8
1932,AQUISICAO DE SERVICO DE TRANSPORTE INICIADO EM UNIDADE DA FE,entrada,5.8
1933,AQUISICAO DE SERVICO TRIBUTADO PELO ISSQN,entrada,5.8
1949,OUTRA ENTRADA DE MERC. OU PRESTACAO DE SERV. NAO ESPECIFICAD,entrada,5.8
2102,COMPRA INTERESTADUAL P/ REVENDA,entrada,5.1
2116,COMPRA PARA INDUSTR. ORIGINADA DE ENCOMENDA PARA RECEB. FUTU,entrada,5.1
2118,COMPRA DE MERCADORIA PARA COMERCIALIZACAO PELO ADQUIRENTE OR,entrada,5.1
2202,DEVOLUCAO DE VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TE,entrada,5.7
