codigo,descricao,direcao,gera_direito_credito,gera_debito
01,Operação Tributável com Alíquota Básica,saida,,true
02,Operação Tributável com Alíquota Diferenciada,saida,,true
03,Operação Tributável com Alíquota por Unidade de Medida de Produto,saida,,true
04,Operação Tributável Monofásica - Revenda a Alíquota Zero,saida,,false
05,Operação Tributável por Substituição Tributária,saida,,false
06,Operação Tributável a Alíquota Zero,saida,,false
07,Operação Isenta da Contribuição,saida,,false
08,Operação sem Incidência da Contribuição,saida,,false
09,Operação com Suspensão da Contribuição,saida,,false
49,Outras Operações de Saída,saida,,true
50,Operação com Direito a Crédito - Vinculada Exclusivamente a Receita Tributada no Mercado Interno,entrada,true,
51,Operação com Direito a Crédito - Vinculada Exclusivamente a Receita Não Tributada no Mercado Interno,entrada,true,
52,Operação com Direito a Crédito - Vinculada Exclusivamente a Receita de Exportação,entrada,true,
53,Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno,entrada,true,
54,Operação com Direito a Crédito - Vinculada a Receitas Tributadas no Mercado Interno e de Exportação,entrada,true,
55,Operação com Direito a Crédito - Vinculada a Receitas Não-Tributadas no Mercado Interno e de Exportação,entrada,true,
56,"Operação com Direito a Crédito - Vinculada a Receitas Tributadas e Não-Tributadas no Mercado Interno, e de Exportação",entrada,true,
60,Crédito Presumido - Vinculado Exclusivamente a Receita Tributada no Mercado Interno,entrada,true,
61,Crédito Presumido - Vinculado Exclusivamente a Receita Não-Tributada no Mercado Interno,entrada,true,
62,Crédito Presumido - Vinculado Exclusivamente a Receita de Exportação,entrada,true,
63,Crédito Presumido - Vinculado a Receitas Tributadas e Não-Tributadas no Mercado Interno,entrada,true,
64,Crédito Presumido - Vinculado a Receitas Tributadas no Mercado Interno e de Exportação,entrada,true,
65,Crédito Presumido - Vinculado a Receitas Não-Tributadas no Mercado Interno e de Exportação,entrada,true,
66,"Crédito Presumido - Vinculado a Receitas Tributadas e Não-Tributadas no Mercado Interno, e de Exportação",entrada,true,
67,Crédito Presumido - Outras Operações,entrada,true,
70,Operação de Aquisição sem Direito a Crédito,entrada,false,
71,Operação de Aquisição com Isenção,entrada,false,
72,Operação de Aquisição com Suspensão,entrada,false,
73,Operação de Aquisição a Alíquota Zero,entrada,false,
74,Operação de Aquisição sem Incidência da Contribuição,entrada,false,
75,Operação de Aquisição por Substituição Tributária,entrada,false,
98,Outras Operações de Entrada,entrada,false,
99,Outras Operações,entrada,false,
